narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
P01_4_0,P01,P01_4,00:00:04.30,00:00:04.30,00:00:08.80,260,525,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_4_1,P01,P01_4,00:00:12.00,00:00:12.00,00:00:13.00,719,779,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_4_4,P01,P01_4,00:00:24.40,00:00:24.40,00:00:25.40,1465,1525,add water,add,46,water,27,['water'],[27]
P01_4_5,P01,P01_4,00:00:26.80,00:00:26.80,00:00:27.50,1611,1650,add water,add,46,water,27,['water'],[27]
P01_4_6,P01,P01_4,00:00:28.00,00:00:28.00,00:00:28.90,1682,1732,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_4_7,P01,P01_4,00:00:29.30,00:00:29.30,00:00:30.50,1757,1833,add spice,add,46,spice,85,['spice'],[85]
P01_4_8,P01,P01_4,00:01:12.90,00:01:12.90,00:01:16.00,4375,4557,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_4_9,P01,P01_4,00:01:16.90,00:01:16.90,00:01:17.00,4615,4620,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_4_10,P01,P01_4,00:01:17.00,00:01:17.00,00:01:17.10,4620,4628,cover pot,cover,36,pot,29,['pot'],[29]
P01_4_11,P01,P01_4,00:01:17.70,00:01:17.70,00:01:18.30,4665,4695,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_4_12,P01,P01_4,00:01:18.40,00:01:18.40,00:01:21.60,4702,4897,stir pasta,stir,10,pasta,45,['pasta'],[45]
P01_4_13,P01,P01_4,00:01:21.60,00:01:21.60,00:01:21.70,4897,4904,cover pot,cover,36,pot,29,['pot'],[29]
P01_4_14,P01,P01_4,00:01:21.90,00:01:21.90,00:01:22.90,4913,4973,add rice,add,46,rice,152,['rice'],[152]
P01_4_15,P01,P01_4,00:01:22.90,00:01:22.90,00:01:32.00,4973,5523,stir food,stir,10,food,34,['food'],[34]
P01_4_16,P01,P01_4,00:01:48.80,00:01:48.80,00:01:52.80,6527,6767,stir food,stir,10,food,34,['food'],[34]
P01_4_17,P01,P01_4,00:01:57.60,00:01:57.60,00:01:58.30,7054,7098,add onion,add,46,onion,16,['onion'],[16]
P01_4_18,P01,P01_4,00:02:04.90,00:02:04.90,00:02:05.90,7496,7553,uncover pot,uncover,83,pot,29,['pot'],[29]
