,video-id,t-start,t-end,label
0,P01_11,0.0,1.89,0
1,P01_11,1.56,2.45,1
2,P01_11,49.15,50.95,0
3,P01_11,327.28,331.97,2
4,P01_11,327.37,329.86,0
5,P01_11,330.62,335.02,18
6,P01_11,335.56,341.14,2
7,P01_11,341.24,348.23,2
8,P01_11,348.67,356.1,2
9,P01_11,356.18,357.82,18
10,P01_11,357.26,359.65999999999997,0
11,P01_11,360.5,361.77,6
12,P01_11,362.01,368.6,2
13,P01_11,51.6,52.49,3
14,P01_11,367.74,368.9,8
15,P01_11,369.65,371.72,18
16,P01_11,373.15,380.94,2
17,P01_11,381.79,382.79,1
18,P01_11,384.89,385.64,3
19,P01_11,385.24,385.8,13
20,P01_11,385.69,386.36,4
21,P01_11,388.2,389.28,0
22,P01_11,388.52,392.17,14
23,P01_11,393.27,394.99,41
24,P01_11,51.98,53.03,13
25,P01_11,396.3,397.35,0
26,P01_11,401.48,402.74,13
27,P01_11,403.69,405.81,0
28,P01_11,406.53,409.64,1
29,P01_11,410.53,413.82,0
30,P01_11,413.73,416.72,1
31,P01_11,418.15999999999997,419.82,3
32,P01_11,420.74,438.5,4
33,P01_11,423.71,437.74,36
34,P01_11,437.79,439.09,4
35,P01_11,52.97,53.66,4
36,P01_11,439.64,445.01,1
37,P01_11,445.59,447.98,3
38,P01_11,448.08,465.15,12
39,P01_11,465.78,467.03,12
40,P01_11,467.36,484.27,36
41,P01_11,485.53,490.72,5
42,P01_11,492.11,500.14,0
43,P01_11,502.8,510.49,3
44,P01_11,512.25,514.0,3
45,P01_11,516.04,531.22,5
46,P01_11,53.89,54.68,0
47,P01_11,534.13,535.81,0
48,P01_11,534.87,537.85,4
49,P01_11,537.95,541.5,0
50,P01_11,541.88,544.26,3
51,P01_11,546.44,549.9,5
52,P01_11,550.79,552.54,5
53,P01_11,552.89,555.39,5
54,P01_11,555.74,558.24,4
55,P01_11,55.53,56.75,0
56,P01_11,56.71,57.71,1
57,P01_11,58.51,60.4,0
58,P01_11,61.48,62.53,1
59,P01_11,62.51,64.06,1
60,P01_11,2.97,13.79,0
61,P01_11,64.86,66.64,14
62,P01_11,67.3,68.68,0
63,P01_11,69.42,70.99,1
64,P01_11,72.45,74.08,0
65,P01_11,73.59,78.85,28
66,P01_11,78.91,80.45,5
67,P01_11,80.99,82.42,0
68,P01_11,82.28999999999999,84.36,3
69,P01_11,84.97,87.47,0
70,P01_11,88.14,89.52,5
71,P01_11,14.36,15.42,1
72,P01_11,89.78999999999999,93.86,0
73,P01_11,96.02000000000001,96.99000000000001,0
74,P01_11,97.09,98.09,1
75,P01_11,97.75999999999999,102.47999999999999,7
76,P01_11,103.92,104.94,5
77,P01_11,112.85,113.93,1
78,P01_11,114.88,115.59,0
79,P01_11,115.25,117.75,1
80,P01_11,115.61,116.66,4
81,P01_11,121.35,122.35,6
82,P01_11,16.75,31.82,0
83,P01_11,122.44,123.44,2
84,P01_11,122.88,123.63,8
85,P01_11,123.89,124.89,0
86,P01_11,124.85,125.49,18
87,P01_11,126.34,127.09,0
88,P01_11,128.69,130.44,1
89,P01_11,132.15,138.54,2
90,P01_11,138.56,139.64,0
91,P01_11,138.99,143.57,2
92,P01_11,143.44,144.51,1
93,P01_11,32.72,33.87,1
94,P01_11,144.34,145.27,0
95,P01_11,145.45,146.74,6
96,P01_11,146.14,147.55,2
97,P01_11,147.65,153.75,2
98,P01_11,154.34,155.13,1
99,P01_11,155.23,155.96,0
100,P01_11,155.74,167.01,2
101,P01_11,166.65,168.4,1
102,P01_11,168.0,168.9,0
103,P01_11,169.07999999999998,178.69,2
104,P01_11,34.38,41.15,0
105,P01_11,178.49,179.9,1
106,P01_11,180.47,182.72,0
107,P01_11,182.65,192.07,2
108,P01_11,191.85,192.59,1
109,P01_11,193.11,194.23,0
110,P01_11,194.24,204.63,2
111,P01_11,204.5,205.61,1
112,P01_11,206.01,206.9,1
113,P01_11,210.28,211.41,0
114,P01_11,212.62,216.2,2
115,P01_11,41.24,42.56,1
116,P01_11,216.07,217.14,6
117,P01_11,217.04,229.41,2
118,P01_11,229.82999999999998,231.17000000000002,5
119,P01_11,231.93,232.93,0
120,P01_11,233.66,242.2,2
121,P01_11,242.3,243.28,5
122,P01_11,243.16,243.89,0
123,P01_11,243.84,244.57,2
124,P01_11,243.99,248.05,2
125,P01_11,245.2,246.93,2
126,P01_11,42.83,44.03,0
127,P01_11,247.01,248.28,2
128,P01_11,253.92,254.42,5
129,P01_11,254.41,254.95,0
130,P01_11,254.91,257.63,2
131,P01_11,257.63,259.09,2
132,P01_11,259.19,260.1,0
133,P01_11,260.2,266.11,2
134,P01_11,266.05,266.55,5
135,P01_11,267.16,268.62,0
136,P01_11,269.15,284.79,2
137,P01_11,44.1,46.17,28
138,P01_11,284.92,286.63,5
139,P01_11,286.58,287.39,0
140,P01_11,287.68,302.35,2
141,P01_11,303.32,304.59,5
142,P01_11,304.63,305.16,0
143,P01_11,305.26,308.31,2
144,P01_11,309.0,312.94,2
145,P01_11,313.6,318.49,2
146,P01_11,318.78,320.42,5
147,P01_11,320.78,326.75,2
148,P01_12,6.79,10.5,0
149,P01_12,11.8,13.44,3
150,P01_12,27.28,27.98,4
151,P01_12,29.13,31.99,0
152,P01_12,31.35,32.42,3
153,P01_12,32.52,36.63,1
154,P01_12,38.07,41.62,0
155,P01_12,41.72,45.99,5
156,P01_12,48.04,50.05,0
157,P01_12,50.15,58.42,5
158,P01_12,60.21,63.75,0
159,P01_12,61.81,63.1,3
160,P01_12,13.74,16.73,1
161,P01_12,62.58,64.81,5
162,P01_12,64.87,66.06,3
163,P01_12,66.07,67.16,12
164,P01_12,67.1,67.64,4
165,P01_12,67.51,68.76,4
166,P01_12,68.93,69.83,31
167,P01_12,71.26,76.0,0
168,P01_12,76.69,78.37,3
169,P01_12,78.67,81.1,5
170,P01_12,82.63,84.56,0
171,P01_12,16.74,18.06,1
172,P01_12,84.66,86.39,3
173,P01_12,86.39,91.02,5
174,P01_12,87.62,90.27,1
175,P01_12,90.78999999999999,92.06,4
176,P01_12,92.67,93.92,0
177,P01_12,93.5,96.02000000000001,4
178,P01_12,96.99000000000001,99.12,3
179,P01_12,99.17,107.72,5
180,P01_12,108.05,109.21000000000001,4
181,P01_12,110.19,111.67,0
182,P01_12,18.18,19.57,1
183,P01_12,111.77000000000001,113.77000000000001,39
184,P01_12,114.12,115.62,31
185,P01_12,115.81,117.06,1
186,P01_12,117.78,119.4,0
187,P01_12,119.71000000000001,120.62,1
188,P01_12,123.0,124.06,3
189,P01_12,124.16,126.62,0
190,P01_12,127.52,129.28,0
191,P01_12,129.3,131.57,4
192,P01_12,132.7,133.61,1
193,P01_12,19.67,21.08,1
194,P01_12,134.13,137.82,15
195,P01_12,137.86,138.94,3
196,P01_12,138.5,144.25,9
197,P01_12,144.35,146.1,4
198,P01_12,146.2,147.2,1
199,P01_12,149.54,150.29,3
200,P01_12,151.14,154.14,0
201,P01_12,153.64,154.89,1
202,P01_12,154.99,156.74,3
203,P01_12,157.09,161.29,39
204,P01_12,21.18,22.87,1
205,P01_12,162.44,169.44,9
206,P01_12,170.54,171.82999999999998,1
207,P01_12,22.97,24.82,1
208,P01_12,24.83,26.18,1
209,P01_12,26.14,27.49,1
210,P01_13,0.61,1.76,0
211,P01_13,1.85,4.23,28
212,P01_13,30.25,32.14,41
213,P01_13,35.33,36.35,0
214,P01_13,36.41,38.36,9
215,P01_13,39.02,39.71,1
216,P01_13,39.94,42.08,6
217,P01_13,41.96,48.54,2
218,P01_13,49.19,51.56,2
219,P01_13,51.55,52.26,1
220,P01_13,52.64,59.81,2
221,P01_13,60.9,61.97,8
222,P01_13,4.58,7.6,5
223,P01_13,62.88,63.94,1
224,P01_13,64.95,68.53,14
225,P01_13,69.11,70.09,3
226,P01_13,70.19,70.95,0
227,P01_13,71.05,71.72,4
228,P01_13,72.61,73.87,1
229,P01_13,73.22,74.3,0
230,P01_13,74.42,81.73,9
231,P01_13,81.8,90.64,57
232,P01_13,90.49,92.39,1
233,P01_13,7.63,10.11,4
234,P01_13,11.49,12.67,3
235,P01_13,13.17,15.34,5
236,P01_13,15.71,16.77,4
237,P01_13,17.95,18.85,0
238,P01_13,19.63,20.38,1
239,P01_13,21.42,22.56,0
240,P01_14,2.54,4.58,0
241,P01_14,5.18,6.56,1
242,P01_14,47.04,48.65,4
243,P01_14,322.66,324.19,0
244,P01_14,324.8,325.78,3
245,P01_14,326.02,328.34,6
246,P01_14,328.44,338.94,9
247,P01_14,334.43,338.89,8
248,P01_14,338.97,339.81,4
249,P01_14,339.28,342.76,1
250,P01_14,343.02,343.88,6
251,P01_14,345.73,347.02,3
252,P01_14,347.72,352.92,0
253,P01_14,48.74,49.99,11
254,P01_14,352.02,354.08,1
255,P01_14,353.93,357.17,5
256,P01_14,357.13,358.98,4
257,P01_14,359.08,360.63,1
258,P01_14,363.53,371.4,9
259,P01_14,372.68,373.63,1
260,P01_14,375.2,376.38,1
261,P01_14,377.38,378.02,3
262,P01_14,380.09,381.47,0
263,P01_14,381.27,382.3,4
264,P01_14,51.08,56.0,33
265,P01_14,383.18,387.07,10
266,P01_14,387.21,388.02,1
267,P01_14,388.0,389.08,0
268,P01_14,388.0,393.01,9
269,P01_14,388.99,390.78,3
270,P01_14,392.86,393.57,4
271,P01_14,393.63,394.55,1
272,P01_14,394.9,405.71,10
273,P01_14,405.35,406.74,1
274,P01_14,407.45,408.45,0
275,P01_14,51.71,55.98,0
276,P01_14,408.55,409.8,3
277,P01_14,410.15,411.9,0
278,P01_14,412.15,412.87,1
279,P01_14,412.51,415.44,7
280,P01_14,412.52,413.4,0
281,P01_14,415.54,417.18,5
282,P01_14,417.46,419.71,4
283,P01_14,421.7,428.44,7
284,P01_14,428.16,429.66,3
285,P01_14,429.66,430.73,5
286,P01_14,54.19,63.05,11
287,P01_14,430.61,433.18,4
288,P01_14,432.85,445.26,7
289,P01_14,442.16,455.58,7
290,P01_14,456.89,468.8,7
291,P01_14,458.37,473.77,7
292,P01_14,473.73,474.93,1
293,P01_14,474.98,477.34000000000003,0
294,P01_14,477.15,479.12,0
295,P01_14,478.99,484.98,10
296,P01_14,489.89,490.94,1
297,P01_14,55.96,57.61,1
298,P01_14,492.35,493.36,0
299,P01_14,497.05,498.28,3
300,P01_14,498.39,499.66,5
301,P01_14,499.3,500.78,4
302,P01_14,502.24,503.44,0
303,P01_14,504.51,508.91,3
304,P01_14,509.79,511.84,3
305,P01_14,514.9,519.65,0
306,P01_14,520.44,541.0,3
307,P01_14,542.09,549.17,0
308,P01_14,63.15,64.73,0
309,P01_14,550.72,551.9,3
310,P01_14,551.36,551.86,1
311,P01_14,551.92,552.82,4
312,P01_14,554.57,555.6,0
313,P01_14,556.18,557.14,1
314,P01_14,557.16,558.11,0
315,P01_14,559.2,560.6,3
316,P01_14,562.62,563.29,0
317,P01_14,563.63,568.45,10
318,P01_14,568.13,569.51,17
319,P01_14,64.89,68.64,49
320,P01_14,569.61,594.03,10
321,P01_14,593.48,595.08,1
322,P01_14,596.45,597.71,0
323,P01_14,600.35,615.25,9
324,P01_14,617.88,618.8,1
325,P01_14,621.12,622.09,0
326,P01_14,621.87,633.79,10
327,P01_14,633.97,636.48,0
328,P01_14,636.08,638.98,9
329,P01_14,640.08,641.58,1
330,P01_14,71.56,72.71000000000001,5
331,P01_14,642.42,643.72,17
332,P01_14,644.18,649.12,10
333,P01_14,648.24,671.72,10
334,P01_14,670.32,671.34,1
335,P01_14,672.24,673.31,0
336,P01_14,673.59,674.91,3
337,P01_14,674.69,676.01,3
338,P01_14,676.49,677.49,0
339,P01_14,677.59,678.37,4
340,P01_14,679.13,681.95,9
341,P01_14,75.33,76.85,0
342,P01_14,682.05,683.8,10
343,P01_14,683.53,684.91,4
344,P01_14,684.67,685.66,1
345,P01_14,685.76,686.82,1
346,P01_14,687.13,688.28,0
347,P01_14,688.35,700.85,10
348,P01_14,701.13,701.64,1
349,P01_14,701.89,702.99,3
350,P01_14,706.38,708.26,11
351,P01_14,708.35,709.42,11
352,P01_14,8.53,9.28,0
353,P01_14,77.57,80.01,49
354,P01_14,709.52,712.26,1
355,P01_14,715.55,716.87,11
356,P01_14,716.97,718.62,11
357,P01_14,718.47,719.85,1
358,P01_14,721.36,723.47,1
359,P01_14,723.69,724.85,3
360,P01_14,725.05,727.34,0
361,P01_14,727.26,728.03,4
362,P01_14,728.6,729.95,1
363,P01_14,730.84,733.05,1
364,P01_14,79.75,80.66,5
365,P01_14,734.4,735.55,3
366,P01_14,735.75,744.25,0
367,P01_14,744.6,745.35,4
368,P01_14,746.92,756.88,1
369,P01_14,749.5,751.25,11
370,P01_14,751.35,752.6,11
371,P01_14,754.83,757.07,1
372,P01_14,758.3,759.74,0
373,P01_14,759.4,766.15,10
374,P01_14,766.25,768.25,17
375,P01_14,80.72,84.48,43
376,P01_14,768.1,768.85,1
377,P01_14,768.95,770.36,0
378,P01_14,770.05,771.55,3
379,P01_14,772.04,789.57,9
380,P01_14,777.18,789.68,9
381,P01_14,789.88,790.73,1
382,P01_14,791.24,815.19,10
383,P01_14,800.18,825.78,10
384,P01_14,825.97,826.75,1
385,P01_14,826.69,829.91,0
386,P01_14,83.92,84.78,5
387,P01_14,829.62,830.66,3
388,P01_14,830.59,831.57,0
389,P01_14,831.63,834.13,7
390,P01_14,834.23,835.48,5
391,P01_14,836.09,837.2,4
392,P01_14,836.57,841.04,12
393,P01_14,841.14,843.93,9
394,P01_14,849.28,853.28,9
395,P01_14,859.16,861.41,13
396,P01_14,862.48,867.47,3
397,P01_14,88.95,90.8,0
398,P01_14,869.7,870.45,4
399,P01_14,870.55,882.72,10
400,P01_14,883.56,884.88,1
401,P01_14,884.64,886.28,0
402,P01_14,885.55,894.21,10
403,P01_14,894.12,896.09,0
404,P01_14,894.31,895.06,1
405,P01_14,895.49,896.13,0
406,P01_14,896.56,898.16,1
407,P01_14,898.25,903.65,11
408,P01_14,91.09,92.31,3
409,P01_14,903.75,905.12,0
410,P01_14,905.22,907.4,11
411,P01_14,907.85,908.55,6
412,P01_14,908.02,914.16,2
413,P01_14,910.03,913.61,2
414,P01_14,913.92,914.7,8
415,P01_14,916.22,917.35,0
416,P01_14,919.33,922.09,5
417,P01_14,925.22,926.98,14
418,P01_14,927.08,928.94,0
419,P01_14,91.87,93.00999999999999,5
420,P01_14,930.27,931.46,0
421,P01_14,931.21,938.08,10
422,P01_14,938.25,939.04,1
423,P01_14,940.52,942.06,3
424,P01_14,943.56,946.54,0
425,P01_14,946.64,949.2,0
426,P01_14,950.65,952.36,0
427,P01_14,952.44,953.49,1
428,P01_14,953.49,954.87,4
429,P01_14,956.84,957.78,1
430,P01_14,92.63,93.58,4
431,P01_14,959.31,960.29,0
432,P01_14,962.53,963.54,1
433,P01_14,964.38,965.34,0
434,P01_14,966.62,974.7,9
435,P01_14,975.9,982.2,9
436,P01_14,983.23,984.78,1
437,P01_14,985.43,988.18,11
438,P01_14,988.52,990.56,11
439,P01_14,992.67,993.9,0
440,P01_14,994.0,1009.06,10
441,P01_14,95.59,96.59,3
442,P01_14,1008.62,1009.46,1
443,P01_14,1009.06,1009.99,0
444,P01_14,1011.13,1023.98,10
445,P01_14,1020.34,1026.5,35
446,P01_14,1029.41,1032.08,1
447,P01_14,1032.01,1033.72,0
448,P01_14,1033.78,1038.56,10
449,P01_14,1038.9,1039.76,24
450,P01_14,1039.93,1046.24,10
451,P01_14,1045.85,1046.81,1
452,P01_14,96.46000000000001,97.00999999999999,5
453,P01_14,1047.7,1049.58,8
454,P01_14,1053.34,1054.52,33
455,P01_14,1054.62,1057.48,1
456,P01_14,1059.15,1060.29,5
457,P01_14,1059.16,1059.96,0
458,P01_14,1062.78,1064.28,0
