,video-id,t-start,t-end,label
0,P01_11,0.0,1.89,2
1,P01_11,1.56,2.45,2
2,P01_11,49.15,50.95,49
3,P01_11,327.28,331.97,17
4,P01_11,327.37,329.86,17
5,P01_11,330.62,335.02,17
6,P01_11,335.56,341.14,42
7,P01_11,341.24,348.23,63
8,P01_11,348.67,356.1,63
9,P01_11,356.18,357.82,17
10,P01_11,357.26,359.65999999999997,16
11,P01_11,360.5,361.77,0
12,P01_11,362.01,368.6,63
13,P01_11,51.6,52.49,36
14,P01_11,367.74,368.9,0
15,P01_11,369.65,371.72,17
16,P01_11,373.15,380.94,46
17,P01_11,381.79,382.79,17
18,P01_11,384.89,385.64,36
19,P01_11,385.24,385.8,16
20,P01_11,385.69,386.36,36
21,P01_11,388.2,389.28,17
22,P01_11,388.52,392.17,11
23,P01_11,393.27,394.99,17
24,P01_11,51.98,53.03,49
25,P01_11,396.3,397.35,11
26,P01_11,401.48,402.74,36
27,P01_11,403.69,405.81,36
28,P01_11,406.53,409.64,36
29,P01_11,410.53,413.82,36
30,P01_11,413.73,416.72,36
31,P01_11,418.15999999999997,419.82,36
32,P01_11,420.74,438.5,19
33,P01_11,423.71,437.74,19
34,P01_11,437.79,439.09,36
35,P01_11,52.97,53.66,36
36,P01_11,439.64,445.01,36
37,P01_11,445.59,447.98,36
38,P01_11,448.08,465.15,19
39,P01_11,465.78,467.03,36
40,P01_11,467.36,484.27,19
41,P01_11,485.53,490.72,19
42,P01_11,492.11,500.14,19
43,P01_11,502.8,510.49,19
44,P01_11,512.25,514.0,36
45,P01_11,516.04,531.22,19
46,P01_11,53.89,54.68,35
47,P01_11,534.13,535.81,6
48,P01_11,534.87,537.85,21
49,P01_11,537.95,541.5,21
50,P01_11,541.88,544.26,12
51,P01_11,546.44,549.9,12
52,P01_11,550.79,552.54,21
53,P01_11,552.89,555.39,2
54,P01_11,555.74,558.24,12
55,P01_11,55.53,56.75,20
56,P01_11,56.71,57.71,35
57,P01_11,58.51,60.4,35
58,P01_11,61.48,62.53,35
59,P01_11,62.51,64.06,20
60,P01_11,2.97,13.79,91
61,P01_11,64.86,66.64,11
62,P01_11,67.3,68.68,2
63,P01_11,69.42,70.99,2
64,P01_11,72.45,74.08,17
65,P01_11,73.59,78.85,17
66,P01_11,78.91,80.45,17
67,P01_11,80.99,82.42,21
68,P01_11,82.28999999999999,84.36,21
69,P01_11,84.97,87.47,91
70,P01_11,88.14,89.52,91
71,P01_11,14.36,15.42,91
72,P01_11,89.78999999999999,93.86,91
73,P01_11,96.02000000000001,96.99000000000001,4
74,P01_11,97.09,98.09,4
75,P01_11,97.75999999999999,102.47999999999999,91
76,P01_11,103.92,104.94,91
77,P01_11,112.85,113.93,4
78,P01_11,114.88,115.59,6
79,P01_11,115.25,117.75,6
80,P01_11,115.61,116.66,21
81,P01_11,121.35,122.35,0
82,P01_11,16.75,31.82,91
83,P01_11,122.44,123.44,11
84,P01_11,122.88,123.63,0
85,P01_11,123.89,124.89,9
86,P01_11,124.85,125.49,9
87,P01_11,126.34,127.09,22
88,P01_11,128.69,130.44,22
89,P01_11,132.15,138.54,4
90,P01_11,138.56,139.64,14
91,P01_11,138.99,143.57,14
92,P01_11,143.44,144.51,14
93,P01_11,32.72,33.87,91
94,P01_11,144.34,145.27,237
95,P01_11,145.45,146.74,0
96,P01_11,146.14,147.55,237
97,P01_11,147.65,153.75,237
98,P01_11,154.34,155.13,237
99,P01_11,155.23,155.96,2
100,P01_11,155.74,167.01,2
101,P01_11,166.65,168.4,2
102,P01_11,168.0,168.9,20
103,P01_11,169.07999999999998,178.69,20
