,video-id,t-start,t-end,label
0,P01_4,4.3,8.8,94
1,P01_4,12.0,13.0,29
2,P01_4,24.4,25.4,27
3,P01_4,26.8,27.5,27
4,P01_4,28.0,28.9,94
5,P01_4,29.3,30.5,85
6,P01_4,72.9,76.0,94
7,P01_4,76.9,77.0,29
8,P01_4,77.0,77.1,29
9,P01_4,77.7,78.3,29
10,P01_4,78.4,81.6,45
11,P01_4,81.6,81.7,29
12,P01_4,81.9,82.9,152
13,P01_4,82.9,92.0,34
14,P01_4,108.8,112.8,34
15,P01_4,117.6,118.3,16
16,P01_4,124.9,125.9,29
17,P01_4,125.2,126.1,45
18,P01_4,126.6,130.7,45
19,P01_4,132.2,134.7,34
20,P01_30,2.5,4.2,57
21,P01_30,7.5,8.5,57
22,P01_30,12.2,13.3,57
23,P01_30,46.4,56.1,38
24,P01_30,116.4,117.9,57
25,P01_30,119.1,120.3,57
26,P01_30,121.4,122.2,57
27,P01_30,122.8,123.8,57
28,P01_30,126.1,127.1,57
29,P01_30,134.2,138.3,38
30,P01_30,142.3,145.2,85
31,P01_30,192.4,193.4,57
32,P01_30,194.1,195.1,57
33,P01_30,196.2,197.2,57
34,P01_30,198.3,199.3,57
35,P01_30,205.6,206.6,32
36,P01_30,208.6,209.6,32
37,P01_30,211.9,212.9,32
38,P01_30,213.1,213.9,32
39,P01_30,217.4,218.4,32
40,P01_30,218.7,219.8,32
41,P01_32,9.3,10.3,28
42,P01_32,12.3,13.3,28
43,P01_32,16.4,17.4,28
44,P01_32,19.4,20.4,28
45,P01_32,21.9,22.9,28
46,P01_32,24.8,25.8,28
47,P01_32,27.6,28.6,28
48,P01_32,31.2,32.2,28
49,P01_32,115.3,116.3,28
50,P01_32,117.0,118.0,28
51,P01_32,118.5,119.5,28
52,P01_32,119.7,120.7,28
53,P01_32,121.3,122.3,28
54,P01_32,122.5,123.5,28
55,P01_32,125.9,126.9,28
56,P01_32,127.8,128.7,28
57,P01_32,195.2,196.2,28
58,P01_32,196.4,197.4,28
59,P01_32,197.9,198.9,28
60,P01_32,199.1,200.1,28
61,P01_32,200.4,201.4,28
62,P01_32,201.6,205.0,28
63,P01_32,206.3,207.3,28
64,P01_32,210.3,211.3,28
65,P01_32,341.3,342.3,28
66,P01_32,342.7,343.7,28
67,P01_32,344.4,345.4,28
68,P01_32,345.8,346.7,28
69,P01_32,347.4,348.4,28
70,P01_32,348.5,349.5,28
71,P01_32,350.9,351.9,28
72,P01_32,353.2,354.2,28
73,P01_32,355.7,359.0,28
74,P01_34,8.3,10.2,28
75,P01_34,36.9,38.7,28
76,P01_34,92.5,93.8,28
77,P01_34,133.2,139.4,205
78,P01_34,143.0,144.1,29
79,P01_34,210.9,213.2,28
80,P01_34,214.5,216.2,28
81,P01_34,216.8,217.8,28
82,P01_34,222.0,230.0,205
83,P01_34,252.8,262.5,205
84,P01_34,263.9,266.2,205
85,P01_34,280.0,283.7,38
86,P01_34,302.3,303.9,28
87,P01_34,304.5,306.1,28
88,P01_34,307.3,308.4,28
89,P01_34,308.8,309.8,28
90,P01_68,39.9,45.7,31
91,P01_68,82.5,84.0,30
92,P01_68,86.2,87.0,30
93,P01_68,89.2,89.9,30
94,P01_68,92.3,93.1,30
95,P01_68,93.9,94.2,30
96,P01_68,97.5,97.9,30
97,P01_68,100.0,100.3,30
98,P01_68,102.7,103.8,30
99,P01_68,106.9,107.5,30
100,P01_68,109.3,109.6,30
101,P01_68,150.3,161.3,30
102,P01_68,227.4,234.4,30
103,P01_68,243.7,257.2,30
104,P01_68,304.7,322.3,30
105,P01_68,344.7,379.6,30
106,P01_68,553.5,573.8,30
107,P01_68,576.5,589.6,30
108,P01_68,692.8,722.3,30
109,P01_68,747.8,759.2,30
110,P01_68,769.3,780.8,30
111,P01_68,809.4,842.0,30
112,P01_68,876.9,906.9,30
113,P01_68,924.7,948.5,30
114,P01_68,975.1,982.2,30
115,P01_68,1008.9,1020.0,30
116,P01_68,1021.4,1059.1,30
117,P01_68,1079.2,1097.5,30
118,P01_68,1104.0,1106.0,30
119,P01_68,1106.8,1107.8,30
120,P01_68,1127.7,1137.6,30
121,P01_68,1148.8,1157.0,30
122,P01_68,1160.5,1167.1,30
123,P01_68,1170.0,1181.9,30
124,P01_68,1195.7,1205.3,30
125,P01_68,1208.5,1218.5,30
126,P01_68,1220.5,1230.4,30
127,P01_68,1233.4,1234.2,30
128,P01_68,1241.0,1243.2,30
129,P01_68,1247.8,1248.5,30
130,P01_68,1251.6,1252.8,30
131,P01_68,1558.3,1559.7,28
132,P01_68,1573.8,1574.9,28
133,P01_68,1590.1,1590.9,28
134,P01_68,1603.5,1604.3,28
135,P01_68,1618.3,1619.0,28
136,P01_68,1630.9,1631.7,28
137,P01_68,1647.8,1648.6,28
138,P01_68,1654.1,1655.1,28
139,P01_68,1706.2,1710.5,28
140,P01_68,1712.3,1714.3,28
141,P01_68,1730.6,1731.0,28
142,P01_68,1753.4,1754.6,28
143,P01_68,1964.5,1965.5,28
144,P01_68,1966.2,1967.2,28
145,P01_68,1968.8,1969.8,28
146,P01_68,1970.9,1972.8,28
147,P01_68,1973.4,1974.6,28
148,P01_68,1975.9,1976.9,28
149,P01_68,1977.9,1979.9,28
150,P01_68,1981.0,1982.3,28
151,P01_68,1983.3,1985.2,28
152,P01_68,1986.0,1987.1,28
153,P01_68,1988.3,1989.4,28
154,P01_68,2190.6,2191.5,28
155,P01_68,2192.0,2192.6,28
156,P01_68,2193.1,2194.1,28
157,P01_68,2194.5,2195.5,28
158,P01_68,2196.0,2197.0,28
159,P01_68,2198.2,2199.2,28
160,P01_68,2199.7,2200.7,28
161,P01_68,2201.3,2203.0,28
162,P01_68,2203.7,2204.7,28
163,P01_68,2205.4,2206.8,28
164,P01_68,2207.6,2208.8,28
165,P01_68,2237.8,2239.4,28
166,P01_68,2259.1,2261.2,28
167,P01_68,2282.3,2286.9,28
168,P01_68,2292.3,2293.8,28
169,P01_68,2297.7,2298.6,28
170,P01_68,2303.4,2304.6,28
171,P01_68,2366.8,2367.9,28
172,P01_68,2369.0,2370.0,28
173,P01_68,2371.3,2372.3,28
174,P01_68,2372.8,2373.8,28
175,P01_68,2374.4,2375.4,28
176,P01_68,2376.0,2377.2,28
177,P01_68,2406.1,2410.2,28
178,P01_68,2599.8,2600.9,28
179,P01_68,2601.5,2602.5,28
180,P01_68,2603.2,2604.5,28
181,P01_68,2604.7,2605.7,28
182,P01_68,2606.2,2607.3,28
183,P01_68,2607.9,2608.9,28
184,P01_68,2609.5,2610.5,28
185,P01_68,2701.3,2702.1,28
186,P01_68,2702.8,2703.7,28
187,P01_68,2704.6,2705.6,28
188,P01_68,2707.4,2707.8,28
189,P01_68,2709.8,2711.1,28
190,P01_68,2712.1,2712.4,28
191,P01_78,9.6,10.4,28
192,P01_78,12.8,13.8,28
193,P01_78,15.2,16.1,28
194,P01_78,18.2,18.7,28
195,P01_78,10.3,11.4,28
196,P01_78,13.6,14.2,28
197,P01_78,15.9,16.7,28
198,P01_78,19.0,22.7,28
199,P01_78,66.8,74.3,38
200,P01_78,95.3,96.7,28
201,P01_78,97.0,97.8,28
202,P01_78,98.0,98.8,28
203,P01_78,100.2,101.3,28
204,P01_78,101.7,104.3,28
205,P01_78,105.3,108.1,38
206,P01_78,116.2,117.2,85
207,P01_78,154.3,155.7,28
208,P01_78,155.9,156.8,28
209,P01_78,156.9,158.1,28
210,P01_78,158.7,160.7,28
211,P01_78,161.2,163.7,28
212,P01_78,164.0,164.6,28
213,P01_78,165.5,171.8,28
214,P01_78,178.7,179.0,32
215,P01_78,179.6,180.0,32
216,P01_78,182.6,182.9,32
217,P01_78,184.4,184.8,32
218,P01_80,3.3,5.4,30
219,P01_80,5.4,8.3,30
220,P01_80,20.7,22.3,28
221,P01_80,22.3,24.1,31
222,P01_80,31.3,32.0,28
223,P01_80,34.6,35.3,28
224,P01_80,34.1,34.9,28
225,P01_80,35.4,40.1,28
226,P01_80,40.6,42.3,28
227,P01_80,42.7,43.7,28
228,P01_80,44.3,46.4,28
229,P01_80,57.0,63.6,28
230,P01_80,71.7,83.6,30
231,P01_80,91.3,92.7,28
232,P01_80,94.3,94.9,28
233,P01_80,95.4,96.3,28
234,P01_80,160.9,161.8,28
235,P01_80,162.5,163.3,28
236,P01_80,163.5,164.4,28
237,P01_80,227.8,228.3,28
238,P01_80,228.6,230.1,28
239,P01_80,230.1,230.6,32
240,P01_80,230.9,231.5,28
241,P01_80,236.7,242.2,30
242,P01_80,245.7,251.1,38
243,P01_80,256.8,264.9,30
244,P01_80,379.7,383.1,30
245,P01_80,386.0,386.3,30
246,P01_80,395.3,399.8,30
247,P01_80,426.7,427.9,28
248,P01_80,429.6,430.3,28
249,P01_80,526.8,533.5,30
250,P01_80,536.5,544.5,30
251,P01_80,565.6,571.2,30
252,P01_90,5.3,7.3,45
253,P01_90,72.6,74.6,45
254,P01_90,76.8,86.5,94
255,P01_90,99.2,115.9,45
256,P01_90,496.0,499.8,45
257,P01_90,500.5,505.2,94
258,P01_90,507.0,515.0,94
259,P01_90,516.7,517.3,94
260,P01_3,110.4,110.9,29
261,P01_3,110.9,111.9,29
262,P01_3,115.0,116.0,29
263,P01_3,117.5,119.9,45
264,P01_3,128.5,129.5,29
265,P01_3,130.1,132.5,45
266,P01_3,133.2,134.2,29
267,P01_3,135.5,136.5,29
268,P01_3,144.6,145.0,29
269,P01_3,145.0,145.6,29
270,P01_3,157.5,158.5,29
271,P01_3,159.8,162.3,45
272,P01_3,163.4,164.4,29
273,P01_3,185.7,186.5,29
274,P01_3,185.9,189.5,45
275,P01_3,189.5,190.5,29
276,P01_3,211.7,212.7,29
277,P01_3,212.1,214.1,45
278,P01_3,213.9,214.9,29
279,P01_3,225.0,226.0,29
280,P01_3,226.6,227.6,29
281,P01_3,239.2,240.2,29
282,P01_3,243.6,244.6,29
283,P01_3,289.3,290.3,29
284,P01_3,290.6,291.6,29
285,P01_3,309.5,310.5,29
286,P01_3,310.6,311.6,45
287,P01_9,35.9,37.7,31
288,P01_9,47.5,62.6,51
289,P01_9,180.5,181.9,51
290,P01_9,208.4,217.0,51
291,P01_9,232.5,233.7,29
292,P01_9,242.1,247.0,51
293,P01_9,297.2,298.7,29
294,P01_9,301.6,304.8,51
295,P01_9,308.4,311.7,16
296,P01_9,313.6,320.1,16
297,P01_9,324.7,328.0,16
298,P01_9,364.0,366.6,16
299,P01_9,368.9,379.8,16
300,P01_9,453.7,455.3,31
301,P01_9,501.9,518.0,16
302,P01_9,533.1,537.3,16
303,P01_9,539.8,546.9,16
304,P01_9,546.9,559.3,16
305,P01_9,562.6,564.6,23
306,P01_9,564.6,566.9,23
307,P01_9,585.2,587.4,47
308,P01_9,607.0,609.0,47
309,P01_9,615.0,616.9,47
310,P01_9,623.5,627.7,23
311,P01_9,628.4,634.0,23
312,P01_9,634.5,638.6,34
313,P01_9,640.3,641.5,29
314,P01_9,644.8,647.1,31
315,P01_9,671.2,685.5,23
316,P01_9,705.7,717.8,23
317,P01_9,744.2,746.0,29
318,P01_9,747.0,748.9,23
319,P01_9,749.9,756.7,23
320,P01_9,759.2,762.9,34
321,P01_9,763.4,764.4,29
322,P01_9,1198.9,1199.9,29
323,P01_9,1201.6,1207.2,34
324,P01_9,1207.0,1208.2,29
325,P01_9,1392.8,1395.4,28
326,P01_9,1423.3,1439.2,28
327,P01_9,1462.2,1470.7,28
328,P01_9,1514.2,1518.0,64
329,P01_9,1523.4,1527.9,64
330,P01_9,1583.1,1593.0,85
331,P01_9,1598.6,1617.2,28
332,P01_9,1629.3,1636.5,28
333,P01_9,1635.0,1636.0,29
334,P01_9,1644.0,1658.6,28
