,video-id,t-start,t-end,label
0,P01_4,4.3,8.8,10
1,P01_4,12.0,13.0,83
2,P01_4,24.4,25.4,46
3,P01_4,26.8,27.5,46
4,P01_4,28.0,28.9,10
5,P01_4,29.3,30.5,46
6,P01_4,72.9,76.0,10
7,P01_4,76.9,77.0,83
8,P01_4,77.0,77.1,36
9,P01_4,77.7,78.3,83
10,P01_4,78.4,81.6,10
11,P01_4,81.6,81.7,36
12,P01_4,81.9,82.9,46
13,P01_4,82.9,92.0,10
14,P01_4,108.8,112.8,10
15,P01_4,117.6,118.3,46
16,P01_4,124.9,125.9,83
17,P01_4,125.2,126.1,10
18,P01_4,126.6,130.7,10
19,P01_4,132.2,134.7,10
20,P01_30,2.5,4.2,46
21,P01_30,7.5,8.5,46
22,P01_30,12.2,13.3,46
23,P01_30,46.4,56.1,46
24,P01_30,116.4,117.9,22
25,P01_30,119.1,120.3,22
26,P01_30,121.4,122.2,22
27,P01_30,122.8,123.8,22
28,P01_30,126.1,127.1,22
29,P01_30,134.2,138.3,46
30,P01_30,142.3,145.2,46
31,P01_30,192.4,193.4,22
32,P01_30,194.1,195.1,22
33,P01_30,196.2,197.2,22
34,P01_30,198.3,199.3,22
35,P01_30,205.6,206.6,46
36,P01_30,208.6,209.6,46
37,P01_30,211.9,212.9,46
38,P01_30,213.1,213.9,46
39,P01_30,217.4,218.4,46
40,P01_30,218.7,219.8,46
41,P01_32,9.3,10.3,46
42,P01_32,12.3,13.3,46
43,P01_32,16.4,17.4,46
44,P01_32,19.4,20.4,46
45,P01_32,21.9,22.9,46
46,P01_32,24.8,25.8,46
47,P01_32,27.6,28.6,46
48,P01_32,31.2,32.2,46
49,P01_32,115.3,116.3,22
50,P01_32,117.0,118.0,22
51,P01_32,118.5,119.5,22
52,P01_32,119.7,120.7,22
53,P01_32,121.3,122.3,22
54,P01_32,122.5,123.5,22
55,P01_32,125.9,126.9,22
56,P01_32,127.8,128.7,22
57,P01_32,195.2,196.2,22
58,P01_32,196.4,197.4,22
59,P01_32,197.9,198.9,22
60,P01_32,199.1,200.1,22
61,P01_32,200.4,201.4,22
62,P01_32,201.6,205.0,22
63,P01_32,206.3,207.3,22
64,P01_32,210.3,211.3,22
65,P01_32,341.3,342.3,22
66,P01_32,342.7,343.7,22
67,P01_32,344.4,345.4,22
68,P01_32,345.8,346.7,22
69,P01_32,347.4,348.4,22
70,P01_32,348.5,349.5,22
71,P01_32,350.9,351.9,22
72,P01_32,353.2,354.2,22
73,P01_32,355.7,359.0,22
74,P01_34,8.3,10.2,46
75,P01_34,36.9,38.7,46
76,P01_34,92.5,93.8,46
77,P01_34,133.2,139.4,10
78,P01_34,143.0,144.1,12
79,P01_34,210.9,213.2,22
80,P01_34,214.5,216.2,22
81,P01_34,216.8,217.8,22
82,P01_34,222.0,230.0,10
83,P01_34,252.8,262.5,10
84,P01_34,263.9,266.2,10
85,P01_34,280.0,283.7,46
86,P01_34,302.3,303.9,22
87,P01_34,304.5,306.1,22
88,P01_34,307.3,308.4,22
89,P01_34,308.8,309.8,22
90,P01_68,39.9,45.7,46
91,P01_68,82.5,84.0,46
92,P01_68,86.2,87.0,46
93,P01_68,89.2,89.9,46
94,P01_68,92.3,93.1,46
95,P01_68,93.9,94.2,46
96,P01_68,97.5,97.9,46
97,P01_68,100.0,100.3,46
98,P01_68,102.7,103.8,46
99,P01_68,106.9,107.5,46
100,P01_68,109.3,109.6,46
101,P01_68,150.3,161.3,10
102,P01_68,227.4,234.4,10
103,P01_68,243.7,257.2,10
104,P01_68,304.7,322.3,10
105,P01_68,344.7,379.6,10
106,P01_68,553.5,573.8,10
107,P01_68,576.5,589.6,10
108,P01_68,692.8,722.3,10
109,P01_68,747.8,759.2,10
110,P01_68,769.3,780.8,10
111,P01_68,809.4,842.0,10
112,P01_68,876.9,906.9,10
113,P01_68,924.7,948.5,10
114,P01_68,975.1,982.2,10
