,video-id,t-start,t-end,label
0,P01_30,2.5,4.2,57
1,P01_30,7.5,8.5,57
2,P01_30,12.2,13.3,57
3,P01_30,46.4,56.1,38
4,P01_30,116.4,117.9,57
5,P01_30,119.1,120.3,57
6,P01_30,121.4,122.2,57
7,P01_30,122.8,123.8,57
8,P01_30,126.1,127.1,57
9,P01_30,134.2,138.3,38
10,P01_30,142.3,145.2,85
11,P01_30,192.4,193.4,57
12,P01_30,194.1,195.1,57
13,P01_30,196.2,197.2,57
14,P01_30,198.3,199.3,57
15,P01_30,205.6,206.6,32
16,P01_30,208.6,209.6,32
17,P01_30,211.9,212.9,32
18,P01_30,213.1,213.9,32
19,P01_30,217.4,218.4,32
20,P01_30,218.7,219.8,32
