,video-id,t-start,t-end,label
0,P01_4,4.3,8.8,94
1,P01_4,12.0,13.0,29
2,P01_4,24.4,25.4,27
3,P01_4,26.8,27.5,27
4,P01_4,28.0,28.9,94
5,P01_4,29.3,30.5,85
6,P01_4,72.9,76.0,94
7,P01_4,76.9,77.0,29
8,P01_4,77.0,77.1,29
9,P01_4,77.7,78.3,29
10,P01_4,78.4,81.6,45
11,P01_4,81.6,81.7,29
12,P01_4,81.9,82.9,152
13,P01_4,82.9,92.0,34
14,P01_4,108.8,112.8,34
15,P01_4,117.6,118.3,16
16,P01_4,124.9,125.9,29
17,P01_4,125.2,126.1,45
18,P01_4,126.6,130.7,45
19,P01_4,132.2,134.7,34
20,P01_10,140.0,148.0,16
21,P01_10,172.4,178.7,16
22,P01_10,179.9,181.4,152
23,P01_10,181.6,189.2,34
24,P01_10,199.2,217.4,34
25,P01_10,220.0,223.4,27
26,P01_10,225.1,231.1,34
27,P01_10,244.4,245.0,34
28,P01_10,245.8,246.3,34
29,P01_10,256.8,265.4,34
30,P01_10,268.7,269.6,29
31,P01_10,387.0,388.0,29
32,P01_10,387.8,399.3,34
33,P01_10,399.4,400.3,29
34,P01_10,399.9,405.5,34
35,P01_10,406.7,407.7,29
36,P01_10,462.3,463.6,29
37,P01_10,463.6,470.9,34
38,P01_10,472.3,473.9,27
39,P01_10,485.5,491.0,34
40,P01_10,492.4,493.6,29
41,P01_10,619.6,620.7,29
42,P01_10,621.9,629.4,34
43,P01_10,632.0,633.7,27
44,P01_10,635.6,636.8,29
45,P01_10,715.1,717.1,29
46,P01_10,717.1,722.7,34
47,P01_10,723.9,726.1,34
48,P01_10,726.3,727.1,29
49,P01_10,871.0,873.7,29
50,P01_10,873.7,880.2,34
51,P01_10,881.0,883.6,27
52,P01_10,887.4,892.4,85
53,P01_10,894.2,901.1,34
54,P01_10,903.9,905.0,29
55,P01_10,1061.3,1062.3,29
56,P01_10,1062.7,1072.8,34
57,P01_10,1081.7,1086.0,34
58,P01_10,1098.2,1101.5,85
59,P01_10,1104.8,1111.5,34
60,P01_10,1112.8,1115.3,27
61,P01_10,1117.7,1128.4,34
62,P01_10,1135.1,1149.2,32
63,P01_10,1152.2,1157.8,32
64,P01_10,1167.2,1186.2,34
65,P01_10,1192.4,1194.8,64
66,P01_10,1204.3,1222.6,34
67,P01_10,1227.8,1229.6,29
68,P01_10,1646.4,1647.1,29
69,P01_14,3.8,6.2,5
70,P01_18,2.9,4.2,5
71,P01_18,16.4,18.0,31
72,P01_18,21.5,26.1,51
73,P01_18,28.1,29.7,51
74,P01_18,32.1,38.8,51
75,P01_18,41.0,45.0,51
76,P01_18,53.8,55.4,51
77,P01_18,112.3,114.9,23
78,P01_18,121.8,125.7,34
79,P01_18,129.1,130.2,38
80,P01_18,136.3,137.2,5
81,P01_18,167.5,168.3,5
82,P01_18,170.8,173.5,16
83,P01_18,177.1,186.0,34
84,P01_18,188.3,189.7,5
85,P01_18,254.0,255.2,5
86,P01_18,258.0,265.0,34
87,P01_18,269.4,272.6,30
88,P01_18,275.6,285.5,34
89,P01_18,286.3,288.3,5
90,P01_18,391.2,392.2,5
91,P01_18,394.2,402.0,34
92,P01_18,403.8,409.3,34
93,P01_18,445.6,458.9,34
94,P01_18,462.7,464.1,34
95,P01_18,472.8,474.0,101
96,P01_18,475.1,476.1,101
97,P01_18,477.3,478.3,101
98,P01_18,479.5,480.5,101
99,P01_18,483.6,486.0,101
100,P01_18,488.8,490.6,38
101,P01_18,491.4,493.2,34
102,P01_18,493.6,496.2,5
103,P01_18,550.4,553.1,5
104,P01_18,551.6,564.3,34
105,P01_18,571.5,573.4,27
106,P01_18,576.6,579.3,34
107,P01_18,579.9,581.9,5
108,P01_18,747.8,750.0,5
109,P01_18,749.9,755.5,34
110,P01_18,766.9,795.6,34
111,P01_18,802.5,803.4,27
112,P01_18,805.8,809.4,34
113,P01_18,812.2,813.8,5
114,P01_18,986.5,988.7,5
115,P01_18,989.2,1008.9,34
116,P01_18,1012.3,1013.5,5
117,P01_30,2.5,4.2,57
118,P01_30,7.5,8.5,57
119,P01_30,12.2,13.3,57
120,P01_30,46.4,56.1,38
121,P01_30,116.4,117.9,57
122,P01_30,119.1,120.3,57
123,P01_30,121.4,122.2,57
124,P01_30,122.8,123.8,57
125,P01_30,126.1,127.1,57
126,P01_30,134.2,138.3,38
127,P01_30,142.3,145.2,85
128,P01_30,192.4,193.4,57
129,P01_30,194.1,195.1,57
130,P01_30,196.2,197.2,57
131,P01_30,198.3,199.3,57
132,P01_30,205.6,206.6,32
133,P01_30,208.6,209.6,32
134,P01_30,211.9,212.9,32
135,P01_30,213.1,213.9,32
136,P01_30,217.4,218.4,32
137,P01_30,218.7,219.8,32
138,P01_32,9.3,10.3,28
139,P01_32,12.3,13.3,28
140,P01_32,16.4,17.4,28
141,P01_32,19.4,20.4,28
142,P01_32,21.9,22.9,28
143,P01_32,24.8,25.8,28
144,P01_32,27.6,28.6,28
145,P01_32,31.2,32.2,28
146,P01_32,115.3,116.3,28
147,P01_32,117.0,118.0,28
148,P01_32,118.5,119.5,28
149,P01_32,119.7,120.7,28
150,P01_32,121.3,122.3,28
151,P01_32,122.5,123.5,28
152,P01_32,125.9,126.9,28
153,P01_32,127.8,128.7,28
154,P01_32,195.2,196.2,28
155,P01_32,196.4,197.4,28
156,P01_32,197.9,198.9,28
157,P01_32,199.1,200.1,28
158,P01_32,200.4,201.4,28
159,P01_32,201.6,205.0,28
160,P01_32,206.3,207.3,28
161,P01_32,210.3,211.3,28
162,P01_32,341.3,342.3,28
163,P01_32,342.7,343.7,28
164,P01_32,344.4,345.4,28
165,P01_32,345.8,346.7,28
166,P01_32,347.4,348.4,28
167,P01_32,348.5,349.5,28
168,P01_32,350.9,351.9,28
169,P01_32,353.2,354.2,28
170,P01_32,355.7,359.0,28
171,P01_3,110.4,110.9,29
172,P01_3,110.9,111.9,29
173,P01_3,115.0,116.0,29
174,P01_3,117.5,119.9,45
175,P01_3,128.5,129.5,29
176,P01_3,130.1,132.5,45
177,P01_3,133.2,134.2,29
178,P01_3,135.5,136.5,29
179,P01_3,144.6,145.0,29
180,P01_3,145.0,145.6,29
181,P01_3,157.5,158.5,29
182,P01_3,159.8,162.3,45
183,P01_3,163.4,164.4,29
184,P01_3,185.7,186.5,29
185,P01_3,185.9,189.5,45
186,P01_3,189.5,190.5,29
187,P01_3,211.7,212.7,29
188,P01_3,212.1,214.1,45
189,P01_3,213.9,214.9,29
190,P01_3,225.0,226.0,29
191,P01_3,226.6,227.6,29
192,P01_3,239.2,240.2,29
193,P01_3,243.6,244.6,29
194,P01_3,289.3,290.3,29
195,P01_3,290.6,291.6,29
196,P01_3,309.5,310.5,29
197,P01_3,310.6,311.6,45
198,P01_17,12.2,14.9,31
199,P01_17,19.6,21.6,23
200,P01_17,24.1,25.1,23
201,P01_17,36.9,39.3,38
202,P01_17,42.0,47.4,23
203,P01_17,105.1,107.9,23
204,P01_17,132.8,135.8,51
205,P01_17,138.8,147.1,34
206,P01_17,152.0,155.1,31
207,P01_17,221.2,227.2,34
208,P01_17,258.2,266.5,34
209,P01_17,270.0,273.6,31
210,P01_17,277.4,283.3,51
211,P01_17,289.6,292.1,51
212,P01_17,293.9,294.9,51
213,P01_17,302.1,307.0,51
214,P01_17,307.2,309.6,34
215,P01_17,334.7,345.6,34
216,P01_17,348.0,351.6,34
217,P01_17,368.8,372.6,67
218,P01_17,376.0,387.2,34
219,P01_17,413.0,416.3,67
220,P01_17,419.2,421.9,51
221,P01_17,423.5,424.5,34
222,P01_17,428.6,448.9,34
223,P01_17,451.7,455.6,31
224,P01_17,461.4,480.4,34
225,P01_17,520.5,536.9,34
226,P01_17,549.1,555.6,43
227,P01_17,563.1,593.4,34
228,P01_17,597.1,603.3,43
229,P01_17,604.7,625.6,34
230,P01_17,697.6,712.8,34
231,P01_17,716.3,718.6,38
232,P01_17,720.4,731.0,85
233,P01_17,741.0,745.2,85
234,P01_17,773.4,816.3,34
235,P01_33,475.9,477.2,28
236,P01_33,495.6,499.2,28
237,P01_33,509.4,511.8,28
238,P01_33,527.8,529.8,28
239,P01_33,544.6,553.7,28
240,P01_33,560.0,562.4,28
241,P01_33,590.9,593.3,28
242,P01_33,595.7,600.2,28
243,P01_33,601.3,605.9,28
244,P01_33,608.8,612.3,28
245,P01_33,654.5,682.4,28
246,P01_33,916.5,939.0,28
247,P01_33,1131.7,1153.6,28
248,P01_33,1191.3,1194.2,28
249,P01_33,1204.9,1207.6,28
250,P01_33,1216.4,1218.7,28
251,P01_33,1229.7,1232.0,28
252,P01_33,1262.1,1265.0,28
253,P01_33,1268.7,1271.5,28
254,P01_33,1385.6,1403.8,28
255,P01_33,1479.2,1491.8,28
256,P01_33,1612.6,1625.5,28
257,P01_33,1849.1,1860.4,28
258,P01_87,5.5,19.6,51
259,P01_87,5.5,20.0,51
260,P01_87,22.0,23.5,16
261,P01_87,26.7,28.4,16
262,P01_87,35.6,37.5,16
263,P01_87,39.5,41.6,16
264,P01_87,176.1,178.2,37
265,P01_87,678.0,681.9,28
266,P01_87,715.3,716.9,38
267,P01_87,717.4,718.3,38
268,P01_87,730.3,733.3,31
269,P01_87,835.3,837.4,38
270,P01_87,921.5,938.1,43
271,P01_87,949.0,956.5,43
272,P01_87,979.3,996.9,43
273,P01_87,949.0,956.6,43
274,P01_87,1090.1,1112.0,43
