,video-id,t-start,t-end,label
0,P01_12,19.2,21.8,31
1,P01_12,45.0,49.9,31
2,P01_12,73.7,74.5,144
3,P01_12,76.5,77.5,144
4,P01_12,79.4,79.8,144
5,P01_12,82.3,82.5,144
6,P01_12,84.5,86.5,144
7,P01_12,88.5,89.1,144
8,P01_12,89.4,90.0,144
9,P01_12,98.2,103.0,144
10,P01_12,114.8,117.5,38
11,P01_12,122.4,166.1,144
12,P01_12,167.1,169.3,144
13,P01_16,10.6,23.5,53
14,P01_16,28.4,31.7,32
15,P01_16,60.0,61.0,31
16,P01_16,79.4,81.9,31
17,P01_16,94.9,96.4,53
18,P01_16,117.2,119.1,38
19,P01_16,163.7,182.4,162
20,P01_16,195.1,196.9,162
21,P01_18,2.9,4.2,5
22,P01_18,16.4,18.0,31
23,P01_18,21.5,26.1,51
24,P01_18,28.1,29.7,51
25,P01_18,32.1,38.8,51
26,P01_18,41.0,45.0,51
27,P01_18,53.8,55.4,51
28,P01_18,112.3,114.9,23
29,P01_18,121.8,125.7,38
30,P01_18,129.1,130.2,38
31,P01_18,136.3,137.2,5
32,P01_18,167.5,168.3,5
33,P01_18,170.8,173.5,16
34,P01_18,177.1,186.0,16
35,P01_18,188.3,189.7,5
36,P01_18,254.0,255.2,5
37,P01_18,258.0,265.0,16
38,P01_18,269.4,272.6,30
39,P01_18,275.6,285.5,30
40,P01_18,286.3,288.3,5
41,P01_18,391.2,392.2,5
42,P01_18,394.2,402.0,30
43,P01_18,403.8,409.3,30
44,P01_18,424.8,433.36,34
45,P01_18,445.6,458.9,30
46,P01_18,462.64,463.76,30
47,P01_18,472.8,474.0,101
48,P01_18,475.1,476.1,101
49,P01_18,477.3,478.3,101
50,P01_18,479.5,480.5,101
51,P01_18,483.6,486.0,101
52,P01_18,488.8,490.6,38
53,P01_18,491.2,493.04,101
54,P01_18,493.6,496.2,5
55,P01_18,550.4,553.1,5
56,P01_18,551.6,564.3,34
57,P01_18,571.5,573.4,27
58,P01_18,576.6,579.3,101
59,P01_18,579.9,581.9,5
60,P01_18,747.8,750.0,5
61,P01_18,749.9,755.5,34
62,P01_18,758.24,764.36,177
63,P01_18,766.9,795.6,177
64,P01_18,802.5,803.4,27
65,P01_18,805.8,809.4,177
66,P01_18,812.2,813.8,5
67,P01_18,986.5,988.7,5
68,P01_18,989.2,1008.9,177
69,P01_18,1012.3,1013.5,5
70,P01_26,5.7,7.1,31
