,video-id,t-start,t-end,label
0,P01_3,110.4,110.9,29
1,P01_3,110.9,111.9,29
2,P01_3,115.0,116.0,29
3,P01_3,117.5,119.9,45
4,P01_3,128.5,129.5,29
5,P01_3,130.1,132.5,45
6,P01_3,133.2,134.2,29
7,P01_3,135.5,136.5,29
8,P01_3,144.6,145.0,29
9,P01_3,145.0,145.6,29
10,P01_3,157.5,158.5,29
11,P01_3,159.8,162.3,45
12,P01_3,163.4,164.4,29
13,P01_3,185.7,186.5,29
14,P01_3,185.9,189.5,45
15,P01_3,189.5,190.5,29
16,P01_3,211.7,212.7,29
17,P01_3,212.1,214.1,45
18,P01_3,213.9,214.9,29
19,P01_3,225.0,226.0,29
20,P01_3,226.6,227.6,29
21,P01_3,239.2,240.2,29
22,P01_3,243.6,244.6,29
23,P01_3,289.3,290.3,29
24,P01_3,290.6,291.6,29
25,P01_3,309.5,310.5,29
26,P01_3,310.6,311.6,45
27,P01_4,4.3,8.8,76
28,P01_4,12.0,13.0,29
29,P01_4,24.4,25.4,27
30,P01_4,26.8,27.5,27
31,P01_4,28.0,28.9,76
32,P01_4,29.3,30.5,85
33,P01_4,72.9,76.0,76
34,P01_4,76.9,77.0,29
35,P01_4,77.0,77.1,29
36,P01_4,77.7,78.3,29
37,P01_4,78.4,81.6,45
38,P01_4,81.6,81.7,29
39,P01_4,81.9,82.9,152
40,P01_4,82.9,92.0,76
41,P01_4,108.8,112.8,76
42,P01_4,117.6,118.3,16
43,P01_4,124.9,125.9,29
44,P01_4,125.2,126.1,45
45,P01_4,126.6,130.7,45
46,P01_4,132.2,134.7,34
47,P01_10,140.0,148.0,16
48,P01_10,172.4,178.7,16
49,P01_10,179.9,181.4,152
50,P01_10,181.6,189.2,152
51,P01_10,191.12,194.24,16
52,P01_10,199.2,217.4,152
53,P01_10,220.0,223.4,27
54,P01_10,225.1,231.1,152
55,P01_10,244.4,245.0,34
56,P01_10,245.8,246.3,152
57,P01_10,256.8,265.4,152
58,P01_10,268.7,269.6,29
59,P01_10,387.0,388.0,29
60,P01_10,387.8,399.3,34
61,P01_10,399.4,400.3,29
62,P01_10,399.9,405.5,152
63,P01_10,406.7,407.7,29
64,P01_10,462.3,463.6,29
65,P01_10,463.6,470.9,152
66,P01_10,472.3,473.9,27
67,P01_10,485.5,491.0,152
68,P01_10,492.4,493.6,29
69,P01_10,619.6,620.7,29
70,P01_10,621.9,629.4,152
71,P01_10,632.0,633.7,27
72,P01_10,635.6,636.8,29
73,P01_10,715.1,717.1,29
74,P01_10,717.1,722.7,34
75,P01_10,723.9,726.1,34
76,P01_10,726.3,727.1,29
