,video-id,t-start,t-end,label
0,P01_12,19.2,21.8,46
1,P01_12,45.0,49.9,27
2,P01_12,73.7,74.5,46
3,P01_12,76.5,77.5,46
4,P01_12,79.4,79.8,46
5,P01_12,82.3,82.5,46
6,P01_12,84.5,86.5,46
7,P01_12,88.5,89.1,46
8,P01_12,89.4,90.0,46
9,P01_12,98.2,103.0,46
10,P01_12,114.8,117.5,46
11,P01_12,122.4,166.1,10
12,P01_12,167.1,169.3,10
13,P01_16,10.6,23.5,15
14,P01_16,28.4,31.7,46
15,P01_16,60.0,61.0,46
16,P01_16,79.4,81.9,27
17,P01_16,94.9,96.4,15
18,P01_16,117.2,119.1,46
19,P01_16,163.7,182.4,22
20,P01_16,195.1,196.9,22
21,P01_18,2.9,4.2,46
22,P01_18,16.4,18.0,46
23,P01_18,21.5,26.1,46
24,P01_18,28.1,29.7,46
25,P01_18,32.1,38.8,46
26,P01_18,41.0,45.0,10
27,P01_18,53.8,55.4,46
28,P01_18,112.3,114.9,46
29,P01_18,121.8,125.7,46
30,P01_18,129.1,130.2,46
31,P01_18,136.3,137.2,36
32,P01_18,167.5,168.3,83
33,P01_18,170.8,173.5,46
34,P01_18,177.1,186.0,10
35,P01_18,188.3,189.7,36
36,P01_18,254.0,255.2,83
37,P01_18,258.0,265.0,10
38,P01_18,269.4,272.6,46
39,P01_18,275.6,285.5,10
40,P01_18,286.3,288.3,36
41,P01_18,391.2,392.2,83
42,P01_18,394.2,402.0,10
43,P01_18,403.8,409.3,10
44,P01_18,445.6,458.9,10
45,P01_18,462.7,464.1,46
46,P01_18,472.8,474.0,46
47,P01_18,475.1,476.1,46
48,P01_18,477.3,478.3,46
49,P01_18,479.5,480.5,46
50,P01_18,483.6,486.0,46
51,P01_18,488.8,490.6,46
52,P01_18,491.4,493.2,46
53,P01_18,493.6,496.2,36
54,P01_18,550.4,553.1,83
55,P01_18,551.6,564.3,10
56,P01_18,571.5,573.4,46
57,P01_18,576.6,579.3,46
58,P01_18,579.9,581.9,36
59,P01_18,747.8,750.0,83
60,P01_18,749.9,755.5,10
61,P01_18,766.9,795.6,10
62,P01_18,802.5,803.4,46
63,P01_18,805.8,809.4,46
64,P01_18,812.2,813.8,36
65,P01_18,986.5,988.7,83
66,P01_18,989.2,1008.9,10
67,P01_18,1012.3,1013.5,36
68,P01_26,5.7,7.1,46
69,P01_26,42.8,43.7,46
70,P01_26,61.6,67.8,10
71,P01_26,102.4,106.8,10
72,P01_26,108.3,109.8,46
73,P01_26,120.0,125.1,10
74,P01_26,136.1,147.5,10
75,P01_26,165.6,168.4,46
76,P01_26,175.0,176.5,46
77,P01_26,179.3,180.7,46
78,P01_26,222.6,226.2,46
79,P01_36,33.4,37.1,46
80,P01_36,38.8,43.9,46
81,P01_36,62.0,86.9,10
82,P01_36,297.0,308.3,10
83,P01_36,468.4,470.1,46
84,P01_36,501.0,502.0,46
85,P01_36,507.5,509.5,11
86,P01_36,515.2,522.0,46
87,P01_36,524.6,525.7,46
88,P01_36,566.9,595.1,10
89,P01_36,605.1,609.0,10
90,P01_36,535.5,540.6,46
91,P01_36,610.8,618.0,10
92,P01_36,630.8,634.3,10
93,P01_36,689.0,693.4,46
94,P01_36,696.9,699.1,10
95,P01_36,700.9,704.6,10
96,P01_36,706.7,738.4,10
97,P01_36,1053.3,1056.5,46
