,video-id,t-start,t-end,label
0,P01_4,4.3,8.8,10
1,P01_4,12.0,13.0,83
2,P01_4,24.4,25.4,46
3,P01_4,26.8,27.5,46
4,P01_4,28.0,28.9,10
5,P01_4,29.3,30.5,46
6,P01_4,72.9,76.0,10
7,P01_4,76.9,77.0,83
8,P01_4,77.0,77.1,36
9,P01_4,77.7,78.3,83
10,P01_4,78.4,81.6,10
11,P01_4,81.6,81.7,36
12,P01_4,81.9,82.9,46
13,P01_4,82.9,92.0,10
14,P01_4,108.8,112.8,10
15,P01_4,117.6,118.3,46
16,P01_4,124.9,125.9,83
17,P01_4,125.2,126.1,10
18,P01_4,126.6,130.7,10
19,P01_4,132.2,134.7,10
20,P01_10,140.0,148.0,10
21,P01_10,172.4,178.7,10
22,P01_10,179.9,181.4,46
23,P01_10,181.6,189.2,10
24,P01_10,199.2,217.4,10
25,P01_10,220.0,223.4,46
26,P01_10,225.1,231.1,10
27,P01_10,244.4,245.0,46
28,P01_10,245.8,246.3,10
29,P01_10,256.8,265.4,10
30,P01_10,268.7,269.6,36
31,P01_10,387.0,388.0,83
32,P01_10,387.8,399.3,10
33,P01_10,399.4,400.3,83
34,P01_10,399.9,405.5,10
35,P01_10,406.7,407.7,36
36,P01_10,462.3,463.6,83
37,P01_10,463.6,470.9,10
38,P01_10,472.3,473.9,46
39,P01_10,485.5,491.0,10
40,P01_10,492.4,493.6,36
41,P01_10,619.6,620.7,83
42,P01_10,621.9,629.4,10
43,P01_10,632.0,633.7,46
44,P01_10,635.6,636.8,36
45,P01_10,715.1,717.1,83
46,P01_10,717.1,722.7,10
47,P01_10,723.9,726.1,10
48,P01_10,726.3,727.1,36
49,P01_10,871.0,873.7,83
50,P01_10,873.7,880.2,10
51,P01_10,881.0,883.6,46
52,P01_10,887.4,892.4,46
53,P01_10,894.2,901.1,10
54,P01_10,903.9,905.0,36
55,P01_10,1061.3,1062.3,83
56,P01_10,1062.7,1072.8,10
57,P01_10,1081.7,1086.0,10
58,P01_10,1098.2,1101.5,46
59,P01_10,1104.8,1111.5,10
60,P01_10,1112.8,1115.3,46
61,P01_10,1117.7,1128.4,10
62,P01_10,1135.1,1149.2,46
63,P01_10,1152.2,1157.8,46
64,P01_10,1167.2,1186.2,10
65,P01_10,1192.4,1194.8,46
66,P01_10,1204.3,1222.6,10
67,P01_10,1227.8,1229.6,36
68,P01_10,1646.4,1647.1,12
69,P01_14,3.8,6.2,11
70,P01_18,2.9,4.2,46
71,P01_18,16.4,18.0,46
72,P01_18,21.5,26.1,46
73,P01_18,28.1,29.7,46
74,P01_18,32.1,38.8,46
75,P01_18,41.0,45.0,10
76,P01_18,53.8,55.4,46
77,P01_18,112.3,114.9,46
78,P01_18,121.8,125.7,46
79,P01_18,129.1,130.2,46
80,P01_18,136.3,137.2,36
81,P01_18,167.5,168.3,83
82,P01_18,170.8,173.5,46
83,P01_18,177.1,186.0,10
84,P01_18,188.3,189.7,36
85,P01_18,254.0,255.2,83
86,P01_18,258.0,265.0,10
87,P01_18,269.4,272.6,46
88,P01_18,275.6,285.5,10
89,P01_18,286.3,288.3,36
90,P01_18,391.2,392.2,83
91,P01_18,394.2,402.0,10
92,P01_18,403.8,409.3,10
93,P01_18,445.6,458.9,10
94,P01_18,462.7,464.1,46
95,P01_18,472.8,474.0,46
96,P01_18,475.1,476.1,46
97,P01_18,477.3,478.3,46
98,P01_18,479.5,480.5,46
99,P01_18,483.6,486.0,46
100,P01_18,488.8,490.6,46
101,P01_18,491.4,493.2,46
102,P01_18,493.6,496.2,36
103,P01_18,550.4,553.1,83
104,P01_18,551.6,564.3,10
105,P01_18,571.5,573.4,46
106,P01_18,576.6,579.3,46
107,P01_18,579.9,581.9,36
108,P01_18,747.8,750.0,83
109,P01_18,749.9,755.5,10
110,P01_18,766.9,795.6,10
111,P01_18,802.5,803.4,46
112,P01_18,805.8,809.4,46
