,video-id,t-start,t-end,label
0,P01_12,19.2,21.8,9
1,P01_12,45.0,49.9,27
2,P01_12,73.7,74.5,46
3,P01_12,76.5,77.5,46
4,P01_12,79.4,79.8,46
5,P01_12,82.3,82.5,46
6,P01_12,84.5,86.5,46
7,P01_12,88.5,89.1,46
8,P01_12,89.4,90.0,46
9,P01_12,98.2,103.0,15
10,P01_12,114.8,117.5,46
11,P01_12,122.4,166.1,11
12,P01_12,167.1,169.3,11
13,P01_16,10.6,23.5,15
14,P01_16,28.4,31.7,46
15,P01_16,60.0,61.0,9
16,P01_16,79.4,81.9,27
17,P01_16,94.9,96.4,15
18,P01_16,117.2,119.1,46
19,P01_16,163.7,182.4,22
20,P01_16,195.1,196.9,22
21,P01_18,2.9,4.2,1
22,P01_18,16.4,18.0,9
23,P01_18,21.5,26.1,46
24,P01_18,28.1,29.7,46
25,P01_18,32.1,38.8,46
26,P01_18,41.0,45.0,10
27,P01_18,53.8,55.4,46
28,P01_18,112.3,114.9,46
29,P01_18,121.8,125.7,46
30,P01_18,129.1,130.2,46
31,P01_18,136.3,137.2,36
32,P01_18,167.5,168.3,83
33,P01_18,170.8,173.5,46
34,P01_18,177.1,186.0,10
35,P01_18,188.3,189.7,36
36,P01_18,254.0,255.2,83
37,P01_18,258.0,265.0,10
38,P01_18,269.4,272.6,46
39,P01_18,275.6,285.5,10
40,P01_18,286.3,288.3,36
41,P01_18,391.2,392.2,83
42,P01_18,394.2,402.0,10
43,P01_18,403.8,409.3,10
44,P01_18,424.8,433.36,46
45,P01_18,445.6,458.9,10
46,P01_18,462.64,463.76,15
47,P01_18,472.8,474.0,46
48,P01_18,475.1,476.1,46
49,P01_18,477.3,478.3,46
50,P01_18,479.5,480.5,46
51,P01_18,483.6,486.0,46
52,P01_18,488.8,490.6,46
53,P01_18,491.2,493.04,15
54,P01_18,493.6,496.2,36
55,P01_18,550.4,553.1,83
56,P01_18,551.6,564.3,10
57,P01_18,571.5,573.4,9
58,P01_18,576.6,579.3,15
59,P01_18,579.9,581.9,36
60,P01_18,747.8,750.0,83
61,P01_18,749.9,755.5,10
62,P01_18,758.24,764.36,46
63,P01_18,766.9,795.6,10
64,P01_18,802.5,803.4,9
65,P01_18,805.8,809.4,15
66,P01_18,812.2,813.8,36
67,P01_18,986.5,988.7,83
68,P01_18,989.2,1008.9,10
69,P01_18,1012.3,1013.5,36
70,P01_26,5.7,7.1,9
71,P01_26,32.36,33.84,46
72,P01_26,42.8,43.7,46
73,P01_26,49.0,49.88,46
74,P01_26,51.72,52.76,46
75,P01_26,61.6,67.8,10
76,P01_26,84.44,94.0,7
77,P01_26,102.4,106.8,10
78,P01_26,108.3,109.8,46
79,P01_26,120.0,125.1,10
80,P01_26,126.72,132.16,46
81,P01_26,136.1,147.5,10
82,P01_26,165.6,168.4,15
83,P01_26,175.0,176.5,15
84,P01_26,179.3,180.7,15
85,P01_26,222.6,226.2,15
86,P01_33,475.9,477.2,46
87,P01_33,495.6,499.2,46
88,P01_33,509.4,511.8,46
89,P01_33,527.8,529.8,46
90,P01_33,544.6,553.7,46
91,P01_33,560.0,562.4,46
92,P01_33,590.9,593.3,46
93,P01_33,595.7,600.2,46
94,P01_33,601.3,605.9,46
95,P01_33,608.8,612.3,46
96,P01_33,654.5,682.4,22
97,P01_33,916.5,939.0,22
98,P01_33,1131.7,1153.6,22
99,P01_33,1154.8,1157.64,12
100,P01_33,1158.4,1162.0,12
101,P01_33,1162.56,1164.88,12
102,P01_33,1165.76,1168.32,12
103,P01_33,1169.32,1173.04,12
104,P01_33,1174.12,1176.72,12
105,P01_33,1177.16,1179.68,12
106,P01_33,1191.3,1194.2,46
107,P01_33,1204.9,1207.6,46
108,P01_33,1216.4,1218.7,46
109,P01_33,1229.7,1232.0,46
110,P01_33,1262.1,1265.0,46
111,P01_33,1268.7,1271.5,46
112,P01_33,1385.6,1403.8,22
