,video-id,t-start,t-end,label
0,P01_3,110.4,110.9,83
1,P01_3,110.9,111.9,36
2,P01_3,115.0,116.0,83
3,P01_3,117.5,119.9,46
4,P01_3,128.5,129.5,83
5,P01_3,130.1,132.5,10
6,P01_3,133.2,134.2,36
7,P01_3,135.5,136.5,36
8,P01_3,144.6,145.0,83
9,P01_3,145.0,145.6,36
10,P01_3,157.5,158.5,83
11,P01_3,159.8,162.3,10
12,P01_3,163.4,164.4,36
13,P01_3,185.7,186.5,83
14,P01_3,185.9,189.5,10
15,P01_3,189.5,190.5,36
16,P01_3,211.7,212.7,83
17,P01_3,212.1,214.1,10
18,P01_3,213.9,214.9,36
19,P01_3,225.0,226.0,83
20,P01_3,226.6,227.6,36
21,P01_3,239.2,240.2,83
22,P01_3,243.6,244.6,36
23,P01_3,289.3,290.3,83
24,P01_3,290.6,291.6,36
25,P01_3,309.5,310.5,83
26,P01_3,310.6,311.6,10
27,P01_4,4.3,8.8,10
28,P01_4,12.0,13.0,83
29,P01_4,24.4,25.4,46
30,P01_4,26.8,27.5,46
31,P01_4,28.0,28.9,10
32,P01_4,29.3,30.5,46
33,P01_4,72.9,76.0,10
34,P01_4,76.9,77.0,83
35,P01_4,77.0,77.1,36
36,P01_4,77.7,78.3,83
37,P01_4,78.4,81.6,10
38,P01_4,81.6,81.7,36
39,P01_4,81.9,82.9,46
40,P01_4,82.9,92.0,10
41,P01_4,108.8,112.8,10
42,P01_4,117.6,118.3,46
43,P01_4,124.9,125.9,83
44,P01_4,125.2,126.1,10
45,P01_4,126.6,130.7,10
46,P01_4,132.2,134.7,10
47,P01_10,140.0,148.0,10
48,P01_10,172.4,178.7,10
49,P01_10,179.9,181.4,46
50,P01_10,181.6,189.2,10
51,P01_10,191.12,194.24,46
52,P01_10,199.2,217.4,10
53,P01_10,220.0,223.4,9
54,P01_10,225.1,231.1,10
55,P01_10,244.4,245.0,46
56,P01_10,245.8,246.3,10
57,P01_10,256.8,265.4,10
58,P01_10,268.7,269.6,36
59,P01_10,387.0,388.0,83
60,P01_10,387.8,399.3,10
61,P01_10,399.4,400.3,83
62,P01_10,399.9,405.5,10
63,P01_10,406.7,407.7,36
64,P01_10,462.3,463.6,83
65,P01_10,463.6,470.9,10
66,P01_10,472.3,473.9,9
67,P01_10,485.5,491.0,10
68,P01_10,492.4,493.6,36
69,P01_10,619.6,620.7,83
70,P01_10,621.9,629.4,10
71,P01_10,632.0,633.7,9
72,P01_10,635.6,636.8,36
73,P01_10,715.1,717.1,83
74,P01_10,717.1,722.7,10
75,P01_10,723.9,726.1,10
76,P01_10,726.3,727.1,36
77,P01_10,871.0,873.7,83
78,P01_10,873.7,880.2,10
79,P01_10,881.0,883.6,9
80,P01_10,887.4,892.4,46
81,P01_10,894.2,901.1,10
82,P01_10,903.9,905.0,36
83,P01_10,1061.3,1062.3,83
84,P01_10,1062.7,1072.8,10
85,P01_10,1081.7,1086.0,10
86,P01_10,1098.2,1101.5,46
87,P01_10,1104.8,1111.5,10
88,P01_10,1112.8,1115.3,9
89,P01_10,1117.7,1128.4,10
90,P01_10,1135.1,1149.2,46
91,P01_10,1152.2,1157.8,46
92,P01_10,1167.2,1186.2,10
93,P01_10,1192.4,1194.8,9
94,P01_10,1204.3,1222.6,10
95,P01_10,1227.8,1229.6,36
96,P01_10,1646.4,1647.1,12
97,P01_15,3.6,5.1,46
98,P01_15,8.1,27.1,15
99,P01_15,33.3,38.7,46
100,P01_15,59.4,60.7,9
101,P01_15,69.8,72.5,27
102,P01_15,81.0,90.6,15
103,P01_15,97.2,98.9,27
104,P01_15,103.6,111.2,11
105,P01_15,130.0,134.9,15
106,P01_15,140.5,143.8,15
107,P01_15,154.5,155.5,12
108,P01_15,205.3,210.4,22
109,P01_15,200.9,201.9,15
110,P01_17,12.2,14.9,9
111,P01_17,19.6,21.6,46
112,P01_17,24.1,25.1,46
113,P01_17,36.9,39.3,46
114,P01_17,42.0,47.4,10
115,P01_17,105.1,107.9,10
116,P01_17,132.8,135.8,46
117,P01_17,138.8,147.1,10
118,P01_17,152.0,155.1,9
119,P01_17,221.2,227.2,10
120,P01_17,258.2,266.5,10
121,P01_17,270.0,273.6,9
122,P01_17,277.4,283.3,46
123,P01_17,289.6,292.1,46
124,P01_17,293.9,294.9,46
125,P01_17,302.1,307.0,10
126,P01_17,307.2,309.6,10
127,P01_17,334.7,345.6,10
128,P01_17,348.0,351.6,10
129,P01_17,368.8,372.6,46
130,P01_17,376.0,387.2,10
131,P01_17,413.0,416.3,46
132,P01_17,419.2,421.9,46
133,P01_17,423.5,424.5,10
134,P01_17,428.6,448.9,10
135,P01_17,458.64,460.15999999999997,15
136,P01_17,451.7,455.6,9
137,P01_17,461.4,480.4,10
138,P01_17,482.4,483.28,36
139,P01_17,487.36,491.48,10
140,P01_17,516.68,517.2,83
141,P01_17,520.5,536.9,10
142,P01_17,549.1,555.6,46
143,P01_17,563.1,593.4,10
144,P01_17,597.1,603.3,46
145,P01_17,604.7,625.6,10
146,P01_17,629.84,632.04,36
147,P01_17,693.44,694.0,83
148,P01_17,697.6,712.8,10
149,P01_17,716.3,718.6,46
