,video-id,t-start,t-end,label
0,P01_30,2.5,4.2,1
1,P01_30,7.5,8.5,1
2,P01_30,12.2,13.3,1
3,P01_30,46.4,56.1,1
4,P01_30,116.4,117.9,0
5,P01_30,119.1,120.3,0
6,P01_30,121.4,122.2,0
7,P01_30,122.8,123.8,0
8,P01_30,126.1,127.1,0
9,P01_30,134.2,138.3,1
10,P01_30,142.3,145.2,1
11,P01_30,192.4,193.4,0
12,P01_30,194.1,195.1,0
13,P01_30,196.2,197.2,0
14,P01_30,198.3,199.3,0
15,P01_30,205.6,206.6,1
16,P01_30,208.6,209.6,1
17,P01_30,211.9,212.9,1
18,P01_30,213.1,213.9,1
19,P01_30,217.4,218.4,1
20,P01_30,218.7,219.8,1
