,video-id,t-start,t-end,label
0,P01_12,19.2,21.8,8
1,P01_12,45.0,49.9,6
2,P01_12,73.7,74.5,8
3,P01_12,76.5,77.5,8
4,P01_12,79.4,79.8,8
5,P01_12,82.3,82.5,8
6,P01_12,84.5,86.5,8
7,P01_12,88.5,89.1,8
8,P01_12,89.4,90.0,8
9,P01_12,98.2,103.0,8
10,P01_12,114.8,117.5,8
11,P01_12,122.4,166.1,1
12,P01_12,167.1,169.3,1
13,P01_16,10.6,23.5,4
14,P01_16,28.4,31.7,8
15,P01_16,60.0,61.0,8
16,P01_16,79.4,81.9,6
17,P01_16,94.9,96.4,4
18,P01_16,117.2,119.1,8
19,P01_16,163.7,182.4,5
20,P01_16,195.1,196.9,5
21,P01_18,2.9,4.2,8
22,P01_18,16.4,18.0,8
23,P01_18,21.5,26.1,8
24,P01_18,28.1,29.7,8
25,P01_18,32.1,38.8,8
26,P01_18,41.0,45.0,1
27,P01_18,53.8,55.4,8
28,P01_18,112.3,114.9,8
29,P01_18,121.8,125.7,8
30,P01_18,129.1,130.2,8
31,P01_18,136.3,137.2,7
32,P01_18,167.5,168.3,9
33,P01_18,170.8,173.5,8
34,P01_18,177.1,186.0,1
35,P01_18,188.3,189.7,7
36,P01_18,254.0,255.2,9
37,P01_18,258.0,265.0,1
38,P01_18,269.4,272.6,8
39,P01_18,275.6,285.5,1
40,P01_18,286.3,288.3,7
41,P01_18,391.2,392.2,9
42,P01_18,394.2,402.0,1
43,P01_18,403.8,409.3,1
44,P01_18,445.6,458.9,1
45,P01_18,462.7,464.1,8
46,P01_18,472.8,474.0,8
47,P01_18,475.1,476.1,8
48,P01_18,477.3,478.3,8
49,P01_18,479.5,480.5,8
50,P01_18,483.6,486.0,8
51,P01_18,488.8,490.6,8
52,P01_18,491.4,493.2,8
53,P01_18,493.6,496.2,7
54,P01_18,550.4,553.1,9
55,P01_18,551.6,564.3,1
56,P01_18,571.5,573.4,8
57,P01_18,576.6,579.3,8
58,P01_18,579.9,581.9,7
59,P01_18,747.8,750.0,9
60,P01_18,749.9,755.5,1
61,P01_18,766.9,795.6,1
62,P01_18,802.5,803.4,8
63,P01_18,805.8,809.4,8
64,P01_18,812.2,813.8,7
65,P01_18,986.5,988.7,9
66,P01_18,989.2,1008.9,1
67,P01_18,1012.3,1013.5,7
68,P01_26,5.7,7.1,8
69,P01_26,42.8,43.7,8
70,P01_26,61.6,67.8,1
71,P01_26,102.4,106.8,1
72,P01_26,108.3,109.8,8
73,P01_26,120.0,125.1,1
74,P01_26,136.1,147.5,1
75,P01_26,165.6,168.4,8
76,P01_26,175.0,176.5,8
77,P01_26,179.3,180.7,8
78,P01_26,222.6,226.2,8
79,P01_36,33.4,37.1,8
80,P01_36,38.8,43.9,8
81,P01_36,62.0,86.9,1
82,P01_36,297.0,308.3,1
83,P01_36,468.4,470.1,8
