narration_id,participant_id,video_id,start_timestamp,stop_timestamp,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
P01_3_0,P01,P01_3,00:01:50.40,00:01:50.90,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_3_1,P01,P01_3,00:01:50.90,00:01:51.90,cover pot,cover,36,pot,29,['pot'],[29]
P01_3_2,P01,P01_3,00:01:55.00,00:01:56.00,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_3_3,P01,P01_3,00:01:57.50,00:01:59.90,add pasta,add,46,pasta,45,['pasta'],[45]
P01_3_4,P01,P01_3,00:02:08.50,00:02:09.50,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_3_5,P01,P01_3,00:02:10.10,00:02:12.50,stir pasta,stir,10,pasta,45,['pasta'],[45]
P01_3_6,P01,P01_3,00:02:13.20,00:02:14.20,cover pot,cover,36,pot,29,['pot'],[29]
P01_3_7,P01,P01_3,00:02:15.50,00:02:16.50,cover pot,cover,36,pot,29,['pot'],[29]
P01_3_8,P01,P01_3,00:02:24.60,00:02:25.00,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_3_9,P01,P01_3,00:02:25.00,00:02:25.60,cover pot,cover,36,pot,29,['pot'],[29]
P01_3_10,P01,P01_3,00:02:37.50,00:02:38.50,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_3_11,P01,P01_3,00:02:39.80,00:02:42.30,stir pasta,stir,10,pasta,45,['pasta'],[45]
P01_3_12,P01,P01_3,00:02:43.40,00:02:44.40,cover pot,cover,36,pot,29,['pot'],[29]
P01_3_13,P01,P01_3,00:03:05.70,00:03:06.50,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_3_14,P01,P01_3,00:03:05.90,00:03:09.50,stir pasta,stir,10,pasta,45,['pasta'],[45]
P01_3_15,P01,P01_3,00:03:09.50,00:03:10.50,cover pot,cover,36,pot,29,['pot'],[29]
P01_3_16,P01,P01_3,00:03:31.70,00:03:32.70,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_3_17,P01,P01_3,00:03:32.10,00:03:34.10,stir pasta,stir,10,pasta,45,['pasta'],[45]
P01_3_18,P01,P01_3,00:03:33.90,00:03:34.90,cover pot,cover,36,pot,29,['pot'],[29]
P01_3_19,P01,P01_3,00:03:45.00,00:03:46.00,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_3_20,P01,P01_3,00:03:46.60,00:03:47.60,cover pot,cover,36,pot,29,['pot'],[29]
P01_3_21,P01,P01_3,00:03:59.20,00:04:00.20,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_3_22,P01,P01_3,00:04:03.60,00:04:04.60,cover pot,cover,36,pot,29,['pot'],[29]
P01_3_23,P01,P01_3,00:04:49.30,00:04:50.30,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_3_25,P01,P01_3,00:04:50.60,00:04:51.60,cover pot,cover,36,pot,29,['pot'],[29]
P01_3_26,P01,P01_3,00:05:09.50,00:05:10.50,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_3_27,P01,P01_3,00:05:10.60,00:05:11.60,stir pasta,stir,10,pasta,45,['pasta'],[45]
P01_4_0,P01,P01_4,00:00:04.30,00:00:08.80,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_4_1,P01,P01_4,00:00:12.00,00:00:13.00,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_4_4,P01,P01_4,00:00:24.40,00:00:25.40,add water,add,46,water,27,['water'],[27]
P01_4_5,P01,P01_4,00:00:26.80,00:00:27.50,add water,add,46,water,27,['water'],[27]
P01_4_6,P01,P01_4,00:00:28.00,00:00:28.90,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_4_7,P01,P01_4,00:00:29.30,00:00:30.50,add spice,add,46,spice,85,['spice'],[85]
P01_4_8,P01,P01_4,00:01:12.90,00:01:16.00,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_4_9,P01,P01_4,00:01:16.90,00:01:17.00,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_4_10,P01,P01_4,00:01:17.00,00:01:17.10,cover pot,cover,36,pot,29,['pot'],[29]
P01_4_11,P01,P01_4,00:01:17.70,00:01:18.30,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_4_12,P01,P01_4,00:01:18.40,00:01:21.60,stir pasta,stir,10,pasta,45,['pasta'],[45]
P01_4_13,P01,P01_4,00:01:21.60,00:01:21.70,cover pot,cover,36,pot,29,['pot'],[29]
P01_4_14,P01,P01_4,00:01:21.90,00:01:22.90,add rice,add,46,rice,152,['rice'],[152]
P01_4_15,P01,P01_4,00:01:22.90,00:01:32.00,stir food,stir,10,food,34,['food'],[34]
P01_4_16,P01,P01_4,00:01:48.80,00:01:52.80,stir food,stir,10,food,34,['food'],[34]
P01_4_17,P01,P01_4,00:01:57.60,00:01:58.30,add onion,add,46,onion,16,['onion'],[16]
P01_4_18,P01,P01_4,00:02:04.90,00:02:05.90,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_4_19,P01,P01_4,00:02:05.20,00:02:06.10,stir pasta,stir,10,pasta,45,['pasta'],[45]
P01_4_20,P01,P01_4,00:02:06.60,00:02:10.70,stir pasta,stir,10,pasta,45,['pasta'],[45]
P01_4_21,P01,P01_4,00:02:12.20,00:02:14.70,stir food,stir,10,food,34,['food'],[34]
P01_5_0,P01,P01_5,00:00:05.40,00:00:06.60,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_5_1,P01,P01_5,00:00:08.00,00:00:09.40,add egg,add,46,egg,53,['egg'],[53]
P01_5_2,P01,P01_5,00:00:10.00,00:00:10.90,add egg,add,46,egg,53,['egg'],[53]
P01_5_3,P01,P01_5,00:00:11.60,00:00:12.50,add egg,add,46,egg,53,['egg'],[53]
P01_5_4,P01,P01_5,00:00:12.50,00:00:13.50,cover pot,cover,36,pot,29,['pot'],[29]
P01_5_6,P01,P01_5,00:02:14.80,00:02:15.80,uncover pot,uncover,83,pot,29,['pot'],[29]
P01_5_7,P01,P01_5,00:02:16.20,00:02:17.20,remove egg,remove,12,egg,53,['egg'],[53]
P01_5_8,P01,P01_5,00:02:18.90,00:02:20.00,remove egg,remove,12,egg,53,['egg'],[53]
P01_6_0,P01,P01_6,00:00:00.90,00:00:02.30,add oil,add,46,oil,31,['oil'],[31]
P01_6_4,P01,P01_6,00:01:11.80,00:01:12.80,add vegetable,add,46,vegetable,94,['vegetable'],[94]
P01_6_5,P01,P01_6,00:01:18.80,00:01:28.20,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_6_8,P01,P01_6,00:02:03.30,00:02:07.90,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_6_10,P01,P01_6,00:02:18.20,00:02:20.50,stir vegetable,stir,10,vegetable,94,['vegetable'],[94]
P01_6_11,P01,P01_6,00:02:20.90,00:02:21.20,remove pot,remove,12,pot,29,['pot'],[29]
