narration_id,video_id,start_timestamp,stop_timestamp,narration,verb,verb_class,noun,noun_class
P01_3_0,P01_3,00:01:50.40,00:01:50.90,uncover pot,uncover,0,pot,0
P01_3_1,P01_3,00:01:50.90,00:01:51.90,cover pot,cover,1,pot,0
P01_3_2,P01_3,00:01:55.00,00:01:56.00,uncover pot,uncover,0,pot,0
P01_3_3,P01_3,00:01:57.50,00:01:59.90,add pasta,add,2,pasta,1
P01_3_4,P01_3,00:02:08.50,00:02:09.50,uncover pot,uncover,0,pot,0
P01_3_5,P01_3,00:02:10.10,00:02:12.50,stir pasta,stir,3,pasta,1
P01_3_6,P01_3,00:02:13.20,00:02:14.20,cover pot,cover,1,pot,0
P01_3_7,P01_3,00:02:15.50,00:02:16.50,cover pot,cover,1,pot,0
P01_3_8,P01_3,00:02:24.60,00:02:25.00,uncover pot,uncover,0,pot,0
P01_3_9,P01_3,00:02:25.00,00:02:25.60,cover pot,cover,1,pot,0
P01_3_10,P01_3,00:02:37.50,00:02:38.50,uncover pot,uncover,0,pot,0
P01_3_11,P01_3,00:02:39.80,00:02:42.30,stir pasta,stir,3,pasta,1
P01_3_12,P01_3,00:02:43.40,00:02:44.40,cover pot,cover,1,pot,0
P01_3_13,P01_3,00:03:05.70,00:03:06.50,uncover pot,uncover,0,pot,0
P01_3_14,P01_3,00:03:05.90,00:03:09.50,stir pasta,stir,3,pasta,1
P01_3_15,P01_3,00:03:09.50,00:03:10.50,cover pot,cover,1,pot,0
P01_3_16,P01_3,00:03:31.70,00:03:32.70,uncover pot,uncover,0,pot,0
P01_3_17,P01_3,00:03:32.10,00:03:34.10,stir pasta,stir,3,pasta,1
P01_3_18,P01_3,00:03:33.90,00:03:34.90,cover pot,cover,1,pot,0
P01_3_19,P01_3,00:03:45.00,00:03:46.00,uncover pot,uncover,0,pot,0
P01_3_20,P01_3,00:03:46.60,00:03:47.60,cover pot,cover,1,pot,0
P01_3_21,P01_3,00:03:59.20,00:04:00.20,uncover pot,uncover,0,pot,0
