0,tap,appliances
1,spoon,cutlery
2,plate,crockery
3,cupboard,storage
4,knife,cutlery
5,pan,cookware
6,lid,containers
7,bowl,crockery
8,drawer,furniture
9,sponge,cleaning equipment and material
10,glass,crockery
11,hand,hand
12,fridge,appliances
13,cup,crockery
14,fork,cutlery
15,bottle,containers
16,onion,vegetables
17,cloth,cleaning equipment and material
18,board:chopping,utensils
19,bag,containers
20,spatula,utensils
21,container,containers
22,liquid:washing,cleaning equipment and material
23,box,containers
24,hob,appliances
25,dough,baked goods and grains
26,package,containers
27,water,drinks
28,meat,meat and substitute
29,pot,cookware
30,potato,vegetables
31,oil,spices and herbs and sauces
32,cheese,dairy and eggs
33,bread,baked goods and grains
34,food,prepared food
35,tray,cookware
36,bin,rubbish
37,pepper,vegetables
38,salt,spices and herbs and sauces
39,colander,utensils
40,jar,containers
41,carrot,vegetables
42,top,furniture
43,tomato,vegetables
44,kettle,appliances
45,pasta,baked goods and grains
46,oven,appliances
47,sauce,spices and herbs and sauces
48,skin,rubbish
49,paper,materials
50,maker:coffee,appliances
51,garlic,vegetables
52,towel,materials
53,egg,dairy and eggs
54,rubbish,rubbish
55,rice,baked goods and grains
56,mushroom,vegetables
57,chicken,meat and substitute
58,cutlery,cutlery
59,coffee,drinks
60,glove,materials
61,can,containers
62,leaf,vegetables
63,sink,furniture
64,milk,dairy and eggs
65,heat,appliances
66,jug,crockery
67,aubergine,vegetables
68,salad,prepared food
69,chilli,spices and herbs and sauces
70,dishwasher,appliances
71,mixture,prepared food
72,cucumber,vegetables
73,clothes,materials
74,peach,fruits and nuts
75,flour,baked goods and grains
76,courgette,vegetables
77,filter,utensils
78,butter,dairy and eggs
79,scissors,utensils
80,chopstick,utensils
81,tofu,meat and substitute
82,blender,appliances
83,olive,fruits and nuts
84,mat,materials
85,spice,spices and herbs and sauces
86,sausage,meat and substitute
87,peeler:potato,utensils
88,napkin,materials
89,cover,containers
90,microwave,appliances
91,pizza,prepared food
92,button,appliances
93,towel:kitchen,materials
94,vegetable,vegetables
95,stock,spices and herbs and sauces
96,grater,utensils
97,ladle,utensils
98,yoghurt,dairy and eggs
99,cereal,baked goods and grains
100,wrap:plastic,materials
101,broccoli,vegetables
102,sugar,spices and herbs and sauces
103,brush,cleaning equipment and material
104,biscuit,baked goods and grains
105,lemon,fruits and nuts
106,juicer,utensils
107,wrap,materials
108,scale,appliances
109,rest,other
110,rack:drying,storage
111,alarm,appliances
112,salmon,meat and substitute
113,freezer,appliances
114,light,appliances
115,spreads,prepared food
116,squash,vegetables
117,leek,vegetables
118,cap,containers
119,fish,meat and substitute
120,lettuce,vegetables
121,curry,prepared food
122,seed,fruits and nuts
123,foil,materials
